,OBJECTID,ZIP,ZIP_dbl,Weave_Zip_Census_ACS_Total_Popu,Total_Population_2011_2015_ACS,MedHomeSalePrice_2yrAvg_2005_07,MedHomeSalePrice_2yrAvg_2014_16,Chg_MedPrice_2005_07_2014_16,PctChg_MedPrice_2005_07_2014_16,AvgMoRent_2011_through_Nov,AvgMoRent_2016_through_Nov,Change_AvgMoRent_2011_2016,Pct_Change_AvgMoRent_2011_2016,Total_NegEquity_Millions_2015Q1,Total_Homes_NegEquity_2015Q1,Pct_Homes_wMortg_NegEqty_2015Q1,Total_NegEquity_Millions_2015Q2,Total_Homes_NegEquity_2015Q2,Pct_Homes_wMortg_NegEqty_2015Q2,Total_NegEquity_Millions_2016Q1,Total_Homes_NegEquity_2016Q1,Pct_Homes_wMortg_NegEqty_2016Q1,Total_NegEquity_Millions_2016Q3,Total_Homes_NegEquity_2016Q3,Pct_Homes_wMortg_NegEqty_2016Q3,GlobalID,last_edited_date
96,100,30084,30084,35921.0,35896.0,187667.0,173330.0,-14337.0,-0.076,1149.0,1319.0,169.0,14.7,-105.0,1589.7,21.9,-99.0,1425.5,19.6,-71.44067327,957.0,14.7,-61.7,630.0,9.7,{7FE520A5-95B7-4ADE-9D93-7458E1F068C2},
97,101,30017,30017,20160.0,23676.0,235601.0,204533.0,-31068.0,-0.132,1305.0,1479.0,174.0,13.4,-53.6,799.2,15.6,-49.3,711.7,13.9,-43.82396532,558.0,11.0,-40.0,424.0,8.4,{72B77255-2393-482D-8498-64D587084FD0},
98,102,30045,30045,34402.0,33602.0,195505.0,164904.0,-30601.0,-0.157,1227.0,1372.0,145.0,11.8,-98.5,1890.5,21.9,-91.7,1548.3,17.9,-65.8579721,939.0,12.3,-59.7,673.0,8.8,{328656B0-148D-499F-8EE2-3DBACADD247B},
99,103,30350,30350,34740.0,36434.0,232812.0,234021.0,1209.0,0.005,1821.0,2261.0,441.0,24.2,-99.5,943.2,20.1,-101.0,870.7,18.6,-86.2216725,622.0,15.2,-72.5,446.0,10.9,{79B93AFA-B29A-446D-8997-8A6BFD418F1E},
100,104,30327,30327,22208.0,23363.0,598010.0,684886.0,86876.0,0.145,3893.0,4843.0,950.0,24.4,-96.5,414.9,8.1,-102.2,391.7,7.6,-100.7444408,321.0,6.5,-73.1,268.0,5.5,{7899962E-88CB-4941-82C3-404AD4CD7C36},
101,105,30315,30315,33857.0,33461.0,148808.0,126724.0,-22084.0,-0.148,882.0,965.0,83.0,9.4,,,,,,,-85.22734586,1137.0,39.8,-86.5,1140.0,39.9,{C0835179-81EA-4E8B-9CB8-4B57BF7D1E7F},
102,106,30288,30288,8929.0,9100.0,,,,,888.0,922.0,34.0,3.9,,,,,,,-39.63327558,901.0,40.9,-33.5,784.0,35.6,{B5B00D5B-81E1-432F-9435-D25E7207D2BC},
103,107,30294,30294,39865.0,41026.0,171113.0,108365.0,-62748.0,-0.367,1052.0,1078.0,26.0,2.5,-264.4,5352.7,52.0,-243.5,4753.8,46.2,-169.7685318,3352.0,38.1,-140.2,2352.0,26.8,{CD3BA5C8-1280-4FB3-B796-85452644ED66},
104,108,30034,30034,43113.0,43922.0,132430.0,84898.0,-47532.0,-0.359,967.0,1003.0,36.0,3.8,-237.9,4854.6,50.2,-224.5,4593.8,47.5,-170.641093,3425.0,39.7,-131.7,2490.0,28.9,{F227CBE9-4355-4F0D-81C8-1E2886A50874},
105,109,30236,30236,46434.0,46720.0,139049.0,104952.0,-34097.0,-0.245,944.0,939.0,-5.0,-0.6,-168.2,3283.7,43.8,-147.6,2993.2,39.9,-109.3253881,2103.0,32.7,-95.7,1790.0,27.8,{36F3DB64-F611-4A10-AC86-F205B9D38411},
